,nor,fir,wat,ele,gra,ice,fig,poi,gro,fly,psy,bug,roc,gho,dra,dar,ste,fai
nor,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0,1,1,0.5,1
fir,1,0.5,0.5,1,2,2,1,1,1,1,1,2,0.5,1,0.5,1,2,1
wat,1,2,0.5,1,0.5,1,1,1,2,1,1,1,2,1,0.5,1,1,1
ele,1,1,2,0.5,0.5,1,1,1,0,2,1,1,1,1,0.5,1,1,1
gra,1,0.5,2,1,0.5,1,1,0.5,2,0.5,1,0.5,2,1,0.5,1,0.5,1
ice,1,0.5,0.5,1,2,0.5,1,1,2,2,1,1,1,1,2,1,0.5,1
fig,2,1,1,1,1,2,1,0.5,1,0.5,0.5,0.5,2,0,1,2,2,0.5
poi,1,1,1,1,2,1,1,0.5,0.5,1,1,1,0.5,0.5,1,1,0,2
gro,1,2,1,2,0.5,1,1,2,1,0,1,0.5,2,1,1,1,2,1
fly,1,1,1,0.5,2,1,2,1,1,1,1,2,0.5,1,1,1,0.5,1
psy,1,1,1,1,1,1,2,2,1,1,0.5,1,1,1,1,0,0.5,1
bug,1,0.5,1,1,2,1,0.5,0.5,1,0.5,2,1,1,0.5,1,2,0.5,0.5
roc,1,2,1,1,1,2,0.5,1,0.5,2,1,2,1,1,1,1,0.5,1
gho,0,1,1,1,1,1,1,1,1,1,2,1,1,2,1,0.5,1,1
dra,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,0.5,0
dar,1,1,1,1,1,1,0.5,1,1,1,2,1,1,2,1,0.5,1,0.5
ste,1,0.5,0.5,0.5,1,2,1,1,1,1,1,1,2,1,1,1,0.5,2
fai,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,2,2,0.5,1
